,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
several birds are all chirping at one time ,20110423_distant.cuckoo.wav,birdies.wav,Budgies Chirping 2.wav,Birds_Singing.wav,Sk310308 chaffinch crow.wav,20060607.bird.gone.nuts.wav,20080321.warbler.n.dogs.wav,20070628.casual.ambiance.wav,Spring Birds in Finnish forest.wav,In an English Suburban Garden.wav
a foot is stomping around on the floor ,foley footsteps walking in room indoors.wav,horse in woods 130213_00.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,FootstepsOnaDock.wav,UoA_PJ120202_HighStAlleyEch.wav,Tortured Apple 02.wav,Walking on Wood Floor.wav,Ball and Tennis Racket_01.wav,playing chess.wav,Ball bouncing.wav
someone walking closer and louder then a door is opened and shut ,entering1.wav,20091226.squeaky.door.wav,elevator 001.wav,big wooden door open close.wav,Elevator Ride and Door Open Merchants Bldg.wav,20091226.soft.door.wav,closing washing machine.wav,20150712_underground.parking.wav,Footsteps on Wood floor 1.wav,closingmyfrondoor.wav
a man is talking and opening a packaging ,POTATO_CHIP_BAG OPEN.wav,Snapping Stick.wav,fly 1 sands_05.wav,Scratching Hair.wav,Glass crushed 1.wav,acent.wav,coffee Elite opening.wav,Street Interview.wav,Outside Library.wav,CFX-20130331-UK-DorsetHarbour05.wav
reverb from an audio system blasts into the air and reverberates over time softening ,Space danger.wav,Electromagnetic Waves on a Macbook Pro.wav,Synth Wind.wav,diesellocomotive.wav,Resocopter Fast.wav,sweep phrase.wav,JM_NOIZ_Buzz 01 - Neon Light.wav,stereo noise experiment 130820.wav,ambientBell.wav,trame5_5.wav
motor is running for a longer time at a regular time interval ,Espresso.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Engine Reving.wav,engine boat passing by.wav,cinemato.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,refrigerator buzzing.wav,Morning Ride 7.wav,TAMPER_0332.wav,Diesel train arrives and departs 1.wav
rain first slows down and falling heavier for a particular time ,RainFallsThruTinGutterMcCoy.wav,shower short.wav,Rain In The City.wav,dishwasher01.wav,Rain 02 091012.wav,washing_machine_beginning.wav,Kitchen Roomtone w_Dripping Faucet_1-2.wav,Rain_Patter_01.wav,Heavy Rain tin roof.wav,Small tractor.wav
group of people are talking in a event ,Amusement Park (Ambience).wav,Carmel Market.wav,16 coffee shop ambience.wav,Busy Dining Room Atmos.wav,Twee dozen aardbeien.wav,Bar atmosphere - Not So Busy.wav,Quiet Chat.wav,20110212_mercado.05.wav,SR005F.wav,ending.applause.wav
bells are ringing and musical instruments are playing in the function ,Carillon Servaas Church 100411.wav,church_bell_song.wav,Lisbon&#39;s church.wav,20101118.omnium.sanctorum.wav,Inside Servaas Church 01 100411.wav,More Bells.wav,church organ 2.wav,church bell_ljubljana.wav,20090419.san.pedro.bells.wav,1167church_clock_striking_ten.wav
church bell ringing and a door is opened ,Inside Servaas Church 01 100411.wav,church bell_ljubljana.wav,Lisbon&#39;s church.wav,20101118.omnium.sanctorum.wav,1167church_clock_striking_ten.wav,20090419.san.pedro.bells.wav,20060730.bells.wav,More Bells.wav,Marble Church.wav,Carillon Servaas Church 100411.wav
a person is warming after rain in the house ,20081231.fire.02.wav,RainFallsThruTinGutterMcCoy.wav,13_Rain_onGrassStone_Gutter_44_16.wav,shower short.wav,vand.wav,Rain_Patter_01.wav,rainy morning in town.wav,WATER SHOWER 001.wav,Grill.wav,Pork sausage.wav
a man coughing loudly and found that he got fever ,Help Me.wav,Robot Overlords Monologue.wav,Street Interview.wav,Street Interview - shorter version.wav,stan_laughing_12292012.wav,acent.wav,Before-After Remix of 53263__stomachache__pterodactyl.wav,Scratching Hair.wav,Broom brushing on mat.wav,Antonio Casquez - Canvis.wav
a vehicle's engine and the screeching of brakes ,130916 General Paz y Panamericana.wav,Parada de buses UCA_1.wav,TREIN3.wav,stoplight.wav,vertrek.wav,kamakura_train.wav,Traffic Karl-Liebknechtstrasse 111223.wav,110719_glasgowdemolish.wav,08-Bakken_RacingCars.wav,Amusement Park.wav
a large group of seagulls caw loudly and continuously ,PJcalls2.wav,crows and owl.wav,Canada geese.wav,AMB_CityPark_Day_Seagull_People.wav,20070628.casual.ambiance.wav,Day 10 10th July acclivity Seaside Town Soundscape.wav,city pond ducks yell.wav,sheep calling her baby lambs.wav,CFX-20130331-UK-DorsetSeaCliff07.wav,COUNTRY-farm-yard.wav
some water is being splashed around in the rain ,RainFallsThruTinGutterMcCoy.wav,"Rain next to open window, dog barks in the distance.wav",White Water.wav,13_Rain_onGrassStone_Gutter_44_16.wav,Rain 02 091012.wav,20081231.fire.02.wav,creek_tyrol_austria.wav,Rain_Patter_01.wav,Stream trickling with small waterfall close by.wav,Fountain at place pigale - Paris - France.wav
a ball bounces twice then three times quickly a chair slides a ball bounces again ,Fly Spray 4X Slow.wav,foley noisy chair moving standing up different speed.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,LargeStuckDoorHallway.wav,settingdownglassbottle.wav,Achter de Stekke .wav,Gas Door.wav,Stiff Metal Wire.wav,14-Nails Scratching-consolidated.wav,04122 metallic cinematic hits.wav
rain falls heavily while birds chirp in the background ,The Commons.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,Birds and insects in the wetlands of Melissant.wav,Rain 02 091012.wav,spider_monkeys.wav,"Wind in a tree, close to the foliage.wav",Heavy wind and rain.wav,Stram.wav,Regen_inhet_Bos_kort.wav,pineforest winter NL SHORT 130110_00.wav
it's like the air is coming out of something ,volcanoeruption.wav,Ambience of the battle field2.wav,thunder wind 02.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,md1trk18.wav,synthwind.wav,TASCAM_0337.wav,earthkiller background 1.wav,thunder002.wav,Mouth Wind Howling.wav
the engine of a plane is while its stationary ,Morning Ride 7.wav,reenactment4.wav,"Helicopter interior, no rotor.wav",Underground Parking Ambience.wav,engine boat passing by.wav,RomaBenzinaioGas_viaPomonte.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Diesel train arrives and departs 1.wav,WASHER machine 2.wav,03199 power generator construction place .wav
some machinery is turning on with men shouting to each other ,2 Subway Nice Place to Live.wav,CafeAmbience.wav,Street scene in Bangkok.wav,Parada de buses UCA_1.wav,balloonburner.wav,01451 war scene arrangement 1.wav,"09-07-11_0653_Bolhao early morning, truck gets unpacked.wav",metro underground  ambient opening closing doors noisy transport catalan spanish barcelona.wav,Ferry boat.wav,static choppy 1400 kHz.wav
three men are talking and a television plays in the background ,Guitar Center employees self-recording 24 bit.wav,acent.wav,Antonio Casquez - Canvis.wav,indoors ambient room tone.wav,Letter B BINGO in Arlington Heights.wav,Outside Library.wav,Outside UU FSW 080701.wav,Street Interview.wav,Street Interview - shorter version.wav,CFX-20130329-UK-DorsetRoomTone03.wav
the air comes out as if it were coming uniformly ,Ambience of the battle field2.wav,volcanoeruption.wav,stereo noise experiment 130820.wav,thunder wind 02.wav,Ambiance1.wav,breath003.wav,HARDWARE STORE ROOMTONE.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,Inside a train 2.wav,treinREM2.wav
toilet being flushed after use with a mild vibrating sound ,Toilet 2.wav,"Toilet flushing, water filling bowl.wav",FLUSH .wav,Toilet Flush Krucifix Productions Sound Effects.wav,Shower Turn on - Turn off.wav,Machine.wav,Dropping water.wav,Taps in the Bath.wav,Plastic Rain Barrel long.wav,SuctionTool.wav
hanging pieces of a chandelier are being moved around and are rustling ,Dropping and Putting Down of Keys.wav,nxSample-158.wav,160170_Gravel_OWI.wav,Rustling keys.wav,Key Jingling.wav,Remove crashed glass.wav,Eating a TicTac.wav,metallic_crackle.wav,opening and swallowing pills.wav,Chains Being Rolled Up.wav
water is leaking in drops slowly more water splash ,gotes lent.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav,Splashing in water.wav,water blups.wav,gully with water drips.wav,playing chess.wav,Kitchen Roomtone w_Dripping Faucet_1-2.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,WATER DRIP 2 ECHO LOW PITCH.wav,Dropping Coins into Water.wav
one vehicle is move one place to other place with high speed ,Train Plan V 090627.wav,Engine Reving.wav,traffic from inside an apartment.wav,"India Train Ride (Train passing by, Voices, Whistle, sounds inside while riding, Train stopping).wav",DH12_141Tram1.wav,00208 tractors passing by.wav,three departures at bus station.wav,traffic-construction-noise.wav,scooter_pass-by4.wav,douche01-def01.wav
an orchestra finishing a song and the crowd applauding ,ending.applause.wav,applause_and_whistle.wav,Caporales.wav,Kamp Zeist.wav,Welte Philharmonic Organ.wav,dare16_eerie.wav,meeting singing on boat - galilee.wav,Salvation Army Carol (at Sainsbury).wav,NEW INTRO FEB 2012 TDAR.wav,20091214.christmas.song.wav
tweeting of an animal thumbing of an item bing put down and someone walking by ,cleaning_fridge.wav,ambience_rural_house_outdoors_noon.wav,cat food.wav,Ambience - Pig Pen - Day - 96kHzsssssss.wav,0129 Big_shop.wav,UoA_PJ120202_HighStAlleyEch.wav,redbarn_feeding-horses.wav,steps in the station.wav,dog panting.wav,140815_drezyna_2.wav
the airplane is flying in the sky in high pressure ,spaced.wav,Underground Parking Ambience.wav,"Helicopter interior, no rotor.wav",Tornado Left To  Right.wav,hillden.wav,airliner_ascend.wav,airshow_2.wav,reenactment4.wav,rios_barney_geo_fonia_contra_el_viento.wav,static choppy 1400 kHz.wav
a person is rapping their knuckles on a surface ,Ball bouncing.wav,playing chess.wav,screenplayTheater__footsteps_leatherSoles-onWood.wav,abandoned-ballroom-objects-wood-metal.wav,trolley wheels foley-mg.wav,kettle-watergong2.wav,BERBER _SONG.wav,foley footsteps walking in room indoors.wav,various slap takes.wav,window rapping.wav
the door opens with squeaky hinges shoes then tap on the floor and the door closes with squeaky hinges ,big wooden door open close.wav,20091226.squeaky.door.wav,entering1.wav,creaky-door-11.wav,Elevator Ride and Door Open Merchants Bldg.wav,20091226.soft.door.wav,Opening and Closing an old Glass Door.wav,door walking exit.wav,FX_Closing Sqeezing Wooden Door.wav,closingmyfrondoor.wav
the wind is blowing heavily to clean the machine in the factory ,vacuuming upholstery.wav,"Helicopter interior, no rotor.wav",Roof with fans.wav,Apartment Ambiance 2.wav,Ambiance1.wav,OMV_02.wav,Airplane Cabin.wav,130915 - Interior Room - Hard Rain on Flat Roof.wav,20091217.05.street.cleaning.wav,08-Bakken_RacingCars.wav
the birds are chirping and a train is passing by the station ,"Amtrak Crescent and Commuter Train, Left to Right.wav",ShortTrain.wav,00213 train signal bird and rain.wav,istanbul tram.wav,Moscow metro journey.wav,HarzTrain.wav,Birds over Brooklyn.wav,Train Passing Grade Crossing.wav,train_coming_in.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav
formula one cars are cruising on the racecourse ,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,german motorway or the autobahn.wav,car_pass_02_070812.wav,HarzTrain.wav,road_spikes.wav,Intersection Wet_Metro Pass.wav,Darkness Of the mind.wav,Chrysler LHS tire squeal 04 (04-25-2009).wav,car coming 1.wav,Passing Tractor.wav
birds and insects are chirping around the place ,Tokyo-cicadas.wav,"Insects in the herbs of the plain, thunders in background.wav","Village Square, Kardamyli, Ciccadas and distant chat.wav",Vieques night soundscape 10-10-10.wav,soundscape forest.wav,070821_flsp_narrows.wav,Crickets Night 2.wav,August night.wav,Night in nature 2.wav,nia walking.wav
a machine spins and buzzes harshly while continuously running ,JM_MACHINE_Coffee Machine 01 - Office.wav,kitchen refrigerator working.wav,refrigerator buzzing.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,RC Helicopter Wind Blowing.wav,washing_machine_beginning.wav,Coffee Machine - Brew 1.wav,dremmel-noise2.wav,Espresso Machine.wav,bitmapnoise3.wav
loud constant scopes with pauses and single scrapes ,Electromagnetic Waves on a Macbook Pro.wav,clang_metal_(hit).wav,Stiff Metal Wire.wav,Mascara.wav,Tissue Paper .wav,cigarette_lighter.wav,earthkiller background 1.wav,big glip.wav,Gas Door.wav,Tortured Apple 02.wav
a cash register being opened showing little ding noises ,Grocery Shop Atmos.wav,toy_tower.wav,Busy Drug Store.wav,tram turn.wav,Public Place Children Indoors.wav,Coming into a hospital in saturday.wav,md3trk7.wav,Elevator Arrives.wav,night_station.wav,Elevator Ride and Door Open Merchants Bldg.wav
an alarm going off outside with a bit of wind ,raindrops on metal_police background.wav,police motorcycle distance to stop.wav,Ambulence - WARNING LOUD.wav,Synth Wind.wav,spaceship engine.wav,vendedor_ambulante.wav,bright_wind.wav,Synthetic rumble with rising tone.wav,Old alarm clock (ticking and ringing).wav,Whelen Piercer.wav
the movement of the train and touching in the track ,kamakura_train.wav,train11.wav,Train Plan V 090627.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",HarzTrain.wav,Moscow metro journey.wav,md9trk2.wav,TREIN3.wav,backhoes.wav,"Train Passing, A.wav"
men and women are singing a song while others talk in the background ,korea_flohmarkt.wav,Portugese Fish Market.wav,meeting singing on boat - galilee.wav,02-BikeDemo_Chimes_Speak.wav,ChurchProcession.wav,Kamp Zeist.wav,Datse Match - Bhutan.wav,Amusement Park (Ambience).wav,Carmel Market.wav,20091214.christmas.song.wav
continuous 8-bit arcade game sounds that are building in pitch ,Synthetic rumble with rising tone.wav,sortdemo_qb45_insert.wav,Strange_en_horn.wav,radio_am_01.wav,Folds.wav,trame5_5.wav,Daaaark.wav,satellite receiving busy signal.wav,Tone Shift.wav,sweep phrase.wav
a person is typing document using type writer ,type writer.wav,Booklet_-_Leaf_through_02_L_Close_R_Distant.wav,POTATO_CHIP_BAG OPEN.wav,Fire crackling.wav,CD Case.wav,cleaning_fridge.wav,DVD Cases.wav,Squeaking of door handle and rumbling of door.wav,turning door lock.wav,Robot Overlords Monologue.wav
a car revs up its engine multiple times ,CarStart Idle Rev.wav,Engine Reving.wav,Boulevard with motorbike.wav,97315__Robinhood76__01706_wounded_jungle_animal_Before-After.wav,00208 tractors passing by.wav,WASHER machine 2.wav,Motor bikes passing by.wav,car_pass_02_070812.wav,motors-moteurs.wav,AMB_Ext_Night_Residential_001.wav
nuts are being roasted in a metal cooking device ,wine_glasses_drying_bottom_up (miroslawski.net).wav,CR SharktoGnawAmb.wav,coffee Elite opening.wav,cat food.wav,Popcorn Foley.wav,Grill.wav,Stones sound.wav,Filling Teapot.wav,trolley wheels foley-mg.wav,md3trk14.wav
many people are clapping and making sound as an appreciation of performance ,ending.applause.wav,applause_and_whistle.wav,BERBER _SONG.wav,Kamp Zeist.wav,20091214.christmas.song.wav,wien_demo.wav,Caporales.wav,ChurchProcession.wav,stenochscentre.wav,20061111Band.wav
an emergency siren is repeatedly going off at the same speed constantly ,Ambulence - WARNING LOUD.wav,FIRE ENGINE long approach and drive away.wav,police motorcycle distance to stop.wav,STREET_AMBULANCE_01.wav,PlanetaryAndXporterSingleLoop_STTOS_recreated.wav,Whelen Piercer.wav,sdaviau2.wav,sirenaWAV.wav,Synthetic rumble with rising tone.wav,Old alarm clock (ticking and ringing).wav
a man is talking and the birds are chirping sweetly on the background ,WALKING IN A CAVE.wav,swifts 2.wav,CFX-20130331-UK-DorsetHarbour05.wav,birdsambience.wav,Snapping Stick.wav,Ambient noise Kauai.wav,An English Country Garden in July.wav,CFX-20130331-UK-DorsetHarbour09.wav,acent.wav,Street Interview.wav
a crowd of people talk as a machine hums loudly ,Tea Garden Outside Ambience.wav,GORAZD_0075_Omori_Pachinko.wav,museum2.wav,aup.wav,market1.wav,trolley car B.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,metro underground  ambient opening closing doors noisy transport catalan spanish barcelona.wav,Portugese Fish Market.wav,times_square.wav
a large amount of fireworks were set off at once ,Fireworks_Amsterdam_48_24.wav,Fireworks_2_Amsterdam_48_24.wav,ThreeFireworks.wav,Sorrento Fireworks.wav,strange sounding firework rocket explosions.wav,fireworkslong2.wav,Zag.canon.eda.wav,Thunderstrikes very close.wav,Fire crackling.wav,BodyDrag2.wav
a bird is chirping with an echo in the background ,tropicbird2.wav,nightbird.wav,Birds and Nature.wav,Clark&#39;s Nutcrackers 01.wav,birdies.wav,00213 train signal bird and rain.wav,Birds of Noosa Biosphere Reserve.wav,Misc_bird_calls_ light_distant_traffic.wav,spider_monkeys.wav,20070628.casual.ambiance.wav
heavy wind is blowing against some paper that some fly off ,envelope.wav,Fire crackling.wav,fliping paper.wav,Pushing Trolley.wav,Cash Money sounds_fieldtapes.wav,HandsOnConcreteWithDirt.wav,light.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,pepper grinder.wav,md1trk18.wav
an insect chirps steadily while light rain pours the chirping intensifies at the end ,August night.wav,Cicada_00410.wav,Night in nature 2.wav,FR.CTC.08.CoyuyoS.006.wav,Tokyo-cicadas.wav,Cicada 1.wav,Crickets Night 2.wav,070821_flsp_narrows.wav,Vieques night soundscape 10-10-10.wav,"Bumblebees in garden, calm wind, crickets in background 1,21min.wav"
a lid is dropped then screwed back on ,CR SharktoGnawAmb.wav,ouverture-contenair_1.wav,bruits.chute.petite.urne.gravillons.wav,Dropping Coins into Water.wav,soda can_pop.wav,Gun_Being_Loaded.wav,object falls on wood.wav,metallic scratches an rubs.wav,Bell from large rabbit plush.wav,Pecan nuts cracked open.wav
